BrakeTestLog04.txt
Time,LeftWheel,RightWheel,OutputShaft,Brake1,Brake2
112.524002,412.916870,399.805725,1265.360107,0.916687,0.496688
112.641998,385.414398,393.713165,1243.566284,0.880875,0.491250
112.761002,407.494629,390.303314,1254.670166,0.789750,0.501938
112.878998,405.050995,385.300781,1239.490112,0.858938,0.486750
112.977997,399.218353,376.843719,1252.705566,0.784875,0.480375
113.096001,393.036194,371.404114,1249.002563,0.666562,0.485438
113.213997,412.711517,365.272797,1228.853516,0.661313,0.481125
113.333000,398.192993,349.541595,1228.333618,0.805875,0.482063
113.450996,404.525024,343.730621,1333.007446,0.748313,0.485625
113.550003,401.924438,346.128540,1307.094604,0.741938,0.483187
113.667999,392.869415,346.532166,1228.794800,0.625125,0.479625
113.786003,420.882507,346.864532,1304.612549,0.685687,0.481500
113.904999,412.854614,353.600525,1289.426025,0.821625,0.483750
114.023003,422.518524,345.663147,1308.215576,0.697688,0.480188
114.140999,411.494720,354.248749,1300.023804,0.750000,0.480750
114.239998,427.478271,358.462128,1327.433594,0.630375,0.482250
114.358002,418.283142,357.910431,1295.290283,0.696563,0.477000
114.475998,426.824188,358.572662,1333.688965,0.784312,0.482812
114.595001,418.604462,361.139923,1323.899292,0.768750,0.484125
114.712997,407.910217,351.458038,1333.530884,0.678000,0.479062
114.831001,428.426056,359.065796,1358.347046,0.776812,0.482812
114.930000,434.511505,358.087952,1321.459717,0.687750,0.480375
115.047997,422.514984,351.827759,1388.214111,0.728813,0.480000
115.166000,427.917328,352.506165,1330.632568,0.781125,0.478500
115.283997,419.011383,358.009125,1334.420654,0.670687,0.480000
115.402000,401.980988,365.700897,1343.524170,0.774938,0.481125
115.519997,423.837463,373.202545,1314.117920,0.683625,0.476625
115.639000,424.964081,388.011230,1292.509155,0.655688,0.474187
115.737999,419.676971,396.067841,1289.989624,0.769125,0.477937
115.856003,404.783752,401.298615,1329.197998,0.771563,0.480375
115.974998,419.758026,416.963745,1369.717041,0.663188,0.480000
116.093002,441.764435,425.280365,1335.093628,0.735375,0.479438
116.192001,439.269867,433.449310,1407.514526,0.741375,0.475500
116.309998,446.663879,442.738434,1390.519775,0.671625,0.474750
116.429001,462.184082,453.804932,1461.050781,0.672188,0.475688
116.528000,445.145782,454.817291,1481.042725,0.674438,0.476063
116.646004,481.754761,470.620392,1478.111572,0.682500,0.475313
116.764999,483.082397,477.232422,1569.530273,0.702375,0.476063
116.863998,507.612915,488.462524,1538.921753,0.696187,0.477750
116.983002,518.565979,506.017792,1579.723389,0.683438,0.477375
117.100998,526.472351,508.690979,1619.491455,0.702000,0.477563
117.199997,519.643860,516.997559,1629.549072,0.689438,0.478687
117.319000,524.357666,520.380676,1644.932251,0.669375,0.478125
117.417999,523.934631,528.150452,1672.520508,0.749625,0.479438
117.537003,529.358215,530.115906,1645.368408,0.688500,0.479062
117.636002,523.748047,525.593750,1671.572998,0.786750,0.479250
117.753998,523.553406,525.783081,1697.120483,0.715312,0.479625
117.873001,540.179932,528.277405,1706.614014,0.671438,0.479250
117.972000,541.571045,541.651611,1680.719360,0.755625,0.480188
118.091003,536.840637,540.675049,1689.601562,0.674250,0.479438
118.190002,525.363220,529.292358,1729.987549,0.773813,0.480563
118.308998,528.296936,536.562744,1713.241577,0.703313,0.480375
118.427002,537.319580,540.963135,1682.431641,0.673312,0.479062
118.526001,550.272949,538.977478,1739.584229,0.688125,0.479813
118.644997,543.230286,547.123779,1748.421509,0.730125,0.481125
118.744003,534.949585,536.644775,1711.759033,0.769875,0.485625
118.862999,535.942993,542.396362,1713.029541,1.697438,0.545625
118.961998,540.919189,546.227234,1751.892944,2.181375,0.630375
119.080002,555.702209,555.825745,1713.420654,2.096062,0.684375
119.198997,548.571960,552.260376,1715.723633,2.340000,0.695813
119.297997,533.831604,542.024536,1715.380493,3.323625,0.766500
119.417000,531.711243,533.192566,1652.027954,3.554625,0.794438
119.515999,519.664124,523.855042,1617.657715,2.820000,0.820125
119.635002,521.392761,517.964294,1566.579712,2.277375,0.759750
119.734001,484.197052,501.961426,1549.013306,3.066188,0.636187
119.852997,469.718414,486.813477,1546.405029,2.640750,0.686063
119.952003,478.758667,471.004944,1483.985352,3.064875,0.749250
120.070999,457.643890,458.968262,1396.333740,2.670000,0.782438
